#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -      m
2011 03 11 10 42 00 2 5465.622
2011 03 11 10 41 00 2 5465.616
2011 03 11 10 40 00 2 5465.555
2011 03 11 10 39 00 2 5465.539
2011 03 11 10 38 00 2 5465.611
2011 03 11 10 37 00 2 5465.635
2011 03 11 10 36 00 2 5465.584
2011 03 11 10 35 00 2 5465.572
2011 03 11 10 34 00 2 5465.587
2011 03 11 10 33 00 2 5465.550
2011 03 11 10 32 00 2 5465.513
2011 03 11 10 31 00 2 5465.532
2011 03 11 10 30 00 2 5465.539
2011 03 11 10 30 00 1 9999.000
2011 03 11 10 29 00 2 5465.501
2011 03 11 10 28 00 2 5465.480
2011 03 11 10 27 00 2 5465.480
2011 03 11 10 26 00 2 5465.471
2011 03 11 10 25 00 2 5465.480
2011 03 11 10 24 00 2 5465.515
2011 03 11 10 23 00 2 5465.531
2011 03 11 10 22 00 2 5465.518
2011 03 11 10 21 00 2 5465.521
2011 03 11 10 20 00 2 5465.533
2011 03 11 10 19 00 2 5465.511
2011 03 11 10 18 00 2 5465.483
2011 03 11 10 17 00 2 5465.491
2011 03 11 10 16 00 2 5465.512
2011 03 11 10 15 00 2 5465.515
2011 03 11 10 15 00 1 9999.000
2011 03 11 10 14 00 2 5465.512
2011 03 11 10 13 00 2 5465.527
2011 03 11 10 12 00 2 5465.539
2011 03 11 10 11 00 2 5465.524
2011 03 11 10 10 00 2 5465.500
2011 03 11 10 09 00 2 5465.502
2011 03 11 10 08 00 2 5465.522
2011 03 11 10 07 00 2 5465.527
2011 03 11 10 06 00 2 5465.506
2011 03 11 10 05 00 2 5465.477
2011 03 11 10 04 00 2 5465.473
2011 03 11 10 03 00 2 5465.503
2011 03 11 10 02 00 2 5465.539
2011 03 11 10 01 00 2 5465.558
2011 03 11 10 00 00 2 5465.557
2011 03 11 10 00 00 1 9999.000
2011 03 11 09 59 00 2 5465.557
2011 03 11 09 58 00 2 5465.573
2011 03 11 09 57 00 2 5465.602
2011 03 11 09 56 00 2 5465.626
2011 03 11 09 55 00 2 5465.618
2011 03 11 09 54 00 2 5465.579
2011 03 11 09 53 00 2 5465.524
2011 03 11 09 52 00 2 5465.485
2011 03 11 09 51 00 2 5465.496
2011 03 11 09 50 00 2 5465.540
2011 03 11 09 49 00 2 5465.582
2011 03 11 09 48 00 2 5465.583
2011 03 11 09 47 00 2 5465.554
2011 03 11 09 46 00 2 5465.521
2011 03 11 09 45 00 2 5465.512
2011 03 11 09 45 00 1 9999.000
2011 03 11 09 44 00 2 5465.523
2011 03 11 09 43 00 2 5465.528
2011 03 11 09 42 00 2 5465.512
2011 03 11 09 41 00 2 5465.481
2011 03 11 09 40 00 2 5465.455
2011 03 11 09 39 00 2 5465.446
2011 03 11 09 38 00 2 5465.453
2011 03 11 09 37 00 2 5465.461
2011 03 11 09 36 00 2 5465.465
2011 03 11 09 35 00 2 5465.473
2011 03 11 09 34 00 2 5465.493
2011 03 11 09 33 00 2 5465.524
2011 03 11 09 32 00 2 5465.574
2011 03 11 09 31 00 2 5465.635
2011 03 11 09 30 00 2 5465.696
2011 03 11 09 30 00 1 9999.000
2011 03 11 09 29 00 2 5465.747
2011 03 11 09 28 00 2 5465.783
2011 03 11 09 27 00 2 5465.798
2011 03 11 09 26 00 2 5465.794
2011 03 11 09 25 00 2 5465.777
2011 03 11 09 24 00 2 5465.744
2011 03 11 09 23 00 2 5465.705
2011 03 11 09 22 00 2 5465.667
2011 03 11 09 21 00 2 5465.629
2011 03 11 09 20 00 2 5465.597
2011 03 11 09 19 00 2 5465.573
2011 03 11 09 18 00 2 5465.553
2011 03 11 09 17 00 2 5465.538
2011 03 11 09 16 00 2 5465.530
2011 03 11 09 15 00 2 5465.526
2011 03 11 09 15 00 1 9999.000
2011 03 11 09 14 00 2 5465.524
