Model Comment
Strike: 202.00 Dip: 12.00 HypocenterDepth: 25.95
RuptureSpeed: 0.00
nx: 40 xMin: -0.00 xMax: 600.00
ny: 14 yMin: -0.00 yMax: 210.00
MomentScaleFactor: 1.0e19 N-m
minMoment: 0.000 maxMoment: 31.910
TotalMoment: 3635.947 Mw: 8.98
minDelayTime: 0.000 maxDelayTime: 0.000
nTimeStepsPerSubFault: 1 BasisTFtnDuration: 0.00
Trupture(s) X Y Lon Lat Depth Mo(DS) Mo(SS) Mo(total) Rake Duration(s)
148.0 300.00  45.00   141.618   35.625   16.6    0.005    0.000    0.005    85  40.0
153.9 315.00  45.00   141.559   35.499   16.6    0.004    0.000    0.004    85  40.0
159.9 330.00  45.00   141.500   35.372   16.6    0.000    0.000    0.000     0  40.0
165.8 345.00  45.00   141.442   35.246   16.6    0.013    0.001    0.013    85  40.0
171.8 360.00  45.00   141.384   35.120   16.6    0.022    0.002    0.022    85  40.0
177.7 375.00  45.00   141.325   34.994   16.6    0.026    0.002    0.026    85  40.0
183.7 390.00  45.00   141.268   34.867   16.6    0.028    0.002    0.028    85  40.0
189.7 405.00  45.00   141.210   34.741   16.6    0.044    0.004    0.044    85  40.0
 99.7 -180.00  30.00   143.446   39.693   19.7    0.450    0.039    0.451    85  40.0
 93.7 -165.00  30.00   143.380   39.568   19.7    0.012    0.001    0.012    85  40.0
 87.9 -150.00  30.00   143.315   39.442   19.7    0.775    0.068    0.778    85  40.0
 82.0 -135.00  30.00   143.250   39.317   19.7    3.214    0.281    3.226    85  40.0
 76.1 -120.00  30.00   143.185   39.192   19.7    5.867    0.513    5.889    85  40.0
 70.3 -105.00  30.00   143.121   39.067   19.7    8.523    0.746    8.555    85  20.0
 63.2 -90.00  30.00   143.056   38.942   19.7   11.381    0.996   11.424    85  20.0
 53.9 -75.00  30.00   142.992   38.816   19.7   13.744    1.202   13.796    85  36.0
 44.7 -60.00  30.00   142.928   38.691   19.7   15.983    1.398   16.044    85  40.0
 36.1 -45.00  30.00   142.864   38.566   19.7   19.306    1.689   19.379    85  40.0
 28.3 -30.00  30.00   142.801   38.440   19.7   22.381    1.958   22.467    85  36.0
 22.4 -15.00  30.00   142.738   38.315   19.7   25.153    2.201   25.249    85  24.0
 20.0   0.00  30.00   142.675   38.189   19.7   27.777    2.430   27.883    85  20.0
 22.4  15.00  30.00   142.612   38.064   19.7   29.528    2.583   29.641    85  20.0
 28.3  30.00  30.00   142.549   37.938   19.7   30.397    2.659   30.513    85  24.0
 36.1  45.00  30.00   142.487   37.813   19.7   31.788    2.781   31.910    85  28.0
 44.7  60.00  30.00   142.424   37.687   19.7   31.095    2.720   31.213    85  32.0
 53.9  75.00  30.00   142.363   37.561   19.7   30.417    2.661   30.534    85  32.0
 63.2  90.00  30.00   142.301   37.436   19.7   29.634    2.593   29.747    85  20.0
 70.3 105.00  30.00   142.239   37.310   19.7   26.490    2.318   26.592    85  20.0
 76.1 120.00  30.00   142.178   37.184   19.7   24.079    2.107   24.171    85  40.0
 82.0 135.00  30.00   142.117   37.058   19.7   21.426    1.875   21.508    85  40.0
 87.9 150.00  30.00   142.056   36.933   19.7   18.265    1.598   18.335    85  40.0
 93.7 165.00  30.00   141.995   36.807   19.7   15.160    1.326   15.218    85  40.0
 99.7 180.00  30.00   141.934   36.681   19.7   11.332    0.991   11.376    85  40.0
105.6 195.00  30.00   141.874   36.555   19.7    9.130    0.799    9.165    85  40.0
111.5 210.00  30.00   141.814   36.429   19.7    6.710    0.587    6.735    85  40.0
117.5 225.00  30.00   141.754   36.303   19.7    4.794    0.419    4.812    85  24.0
123.4 240.00  30.00   141.694   36.177   19.7    2.836    0.248    2.847    85  24.0
129.4 255.00  30.00   141.635   36.051   19.7    1.877    0.164    1.884    85  28.0
135.3 270.00  30.00   141.575   35.925   19.7    1.160    0.101    1.164    85  20.0
141.3 285.00  30.00   141.516   35.799   19.7    0.000    0.000    0.000     0  32.0
147.3 300.00  30.00   141.457   35.673   19.7    0.000    0.000    0.000     0  40.0
153.2 315.00  30.00   141.398   35.547   19.7    0.000    0.000    0.000     0  40.0
159.2 330.00  30.00   141.339   35.421   19.7    0.000    0.000    0.000     0  40.0
165.2 345.00  30.00   141.281   35.294   19.7    0.010    0.001    0.010    85  40.0
171.2 360.00  30.00   141.223   35.168   19.7    0.034    0.003    0.035    85  40.0
177.1 375.00  30.00   141.165   35.042   19.7    0.344    0.030    0.345    85  40.0
183.1 390.00  30.00   141.107   34.916   19.7    0.777    0.068    0.780    85  40.0
189.1 405.00  30.00   141.049   34.789   19.7    1.046    0.092    1.050    85  40.0
 98.9 -180.00  15.00   143.286   39.741   22.8    0.022    0.002    0.022    85  40.0
 92.9 -165.00  15.00   143.221   39.616   22.8    0.021    0.002    0.021    85  40.0
 87.0 -150.00  15.00   143.155   39.490   22.8    0.146    0.013    0.147    85  40.0
 81.0 -135.00  15.00   143.090   39.365   22.8    1.519    0.133    1.525    85  40.0
 75.0 -120.00  15.00   143.025   39.240   22.8    5.055    0.442    5.075    85  40.0
 69.1 -105.00  15.00   142.961   39.115   22.8    7.118    0.623    7.145    85  20.0
 60.8 -90.00  15.00   142.896   38.990   22.8    9.332    0.816    9.367    85  32.0
 51.0 -75.00  15.00   142.832   38.864   22.8   10.813    0.946   10.854    85  36.0
 41.2 -60.00  15.00   142.768   38.739   22.8   12.599    1.102   12.648    85  40.0
 31.6 -45.00  15.00   142.704   38.614   22.8   15.001    1.312   15.058    85  40.0
 22.4 -30.00  15.00   142.641   38.488   22.8   17.986    1.574   18.055    85  20.0
 14.1 -15.00  15.00   142.577   38.363   22.8   21.240    1.858   21.321    85  20.0
 10.0   0.00  15.00   142.514   38.237   22.8   23.130    2.024   23.219    85  20.0
 14.1  15.00  15.00   142.451   38.112   22.8   25.831    2.260   25.930    85  20.0
